web-scraper-order,web-scraper-start-url,subject,title,comment_number,description,pagination,pagination-href
"1541624980-777","https://www.nogomania.com/Novice.aspx","Evropske lige","Pojavil se je še en Realov davčni dolžnik","2","Madridski Real je proizvedel že kar nekaj igralcev. ki so bili hkrati tudi davčni dolžniki, Eden takšnih repov je zdaj ujel tudi enega od glavnih zvezdnikov ekipe.","","https://www.nogomania.com/Novice.aspx?pid=28"
"1541625659-2236","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Milanič: Celjani so se zelo dobro branili","17","Trener Maribora Darko Milanič meni, da so Celjani v Ljudskem vrtu izstopali z zelo organizirano obrambo, obžaluje pa, da po doseženem vodstvu Marka Šulerja ni uspel ""zapreti tekme"".","","https://www.nogomania.com/Novice.aspx?pid=156"
"1541626072-3121","https://www.nogomania.com/Novice.aspx","Evropske lige","Bešiktaš ima povpraševanje za Domagoja Vido","2","V Turčiji so se že pojavile govorice, da bi Domagoj Vida po šestih mesecih lahko zapustil Bešiktaš. Dobre igre na mundialu bi ga lahko izstrelile v angleško Premier League.","","https://www.nogomania.com/Novice.aspx?pid=233"
"1541625337-1562","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=96"
"1541626061-3101","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Liverpool ponuja 70 milijonov za Alissona","46","Liverpool je Romi poslal ponudbo za brazilskega vratarja Alissona. Redsi so ponudili kar 70 milijonov evrov, kar je svetovni rekord za vratarja. Rekord še vedno drži Gianluigi Buffon.","","https://www.nogomania.com/Novice.aspx?pid=231"
"1541624991-843","https://www.nogomania.com/Novice.aspx","null","null","null","null","","https://www.nogomania.com/Novice.aspx?pid=33"
"1541624948-619","https://www.nogomania.com/Novice.aspx","Evropske lige","Liverpool z zajetno donacijo za Seana Coxa","8","Angleški velikan Liverpool je pomagal zbrati donacije za svojega irskega navijača Seana Coxa, ki je bil aprila letos tarča brutalnega napada navijačev Rome, v katerem je staknil težke poškodbe glave.","","https://www.nogomania.com/Novice.aspx?pid=14"
"1541625840-2608","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Ilić: Ta zmaga nas je dvignila","8","Kapetan Olimpije Branko Ilić priznava, da nihče ni pričakoval tako dobre igre in tako visoke zmage proti HJK. Pomembno je, da državni prvaki niso prejeli zadetka, a bodo morali biti v Helsinkih vseeno previdni.","","https://www.nogomania.com/Novice.aspx?pid=188"
"1541625766-2456","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Vroča kri na mariborskih ulicah","4","Policisti so imeli včeraj v Mariboru precej dela s škotskimi navijači, ki so zanetili celo serijo manjših incidentov. Šesterici je bila izrečena globa, pet pa jih je bilo kazensko ovadenih.","","https://www.nogomania.com/Novice.aspx?pid=175"
"1541624975-753","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","2. SNL: Nafta proti Razdrhovi Sežani","0","Vse bolj množičen boj za vrh lestvice v 2. SNL bi ta konec tedna na čelo znova lahko izstrelil novo ekipo. Za prvo mesto bodo nocoj kandidirali tako Nafta kot prvič letos Krka in Dob.","","https://www.nogomania.com/Novice.aspx?pid=26"
"1541625412-1732","https://www.nogomania.com/Novice.aspx","Evropske lige","Firmino odločil dramo na Anfieldu","53","Liverpool je odlično formo v domačem prvenstvu potrdil tudi v ligi prvakov, v kateri je z izjemno predstavo s 3:2 premagal Paris Saint Germain. Roberto Firmino je za zmago zadel v sodnikovem dodatku.","","https://www.nogomania.com/Novice.aspx?pid=111"
"1541626293-3592","https://www.nogomania.com/Novice.aspx","Mednarodni nogomet","Tite: Brazilija dobro prenaša pritisk","0","Brazilski selektor Tite po uvrstitvi v osmino finala dvomljivce opozarja, da se Brazilija dobro nosi s pritiskom. Ekipa raste, se konsolidira, a ostaja realna.","","https://www.nogomania.com/Novice.aspx?pid=274"
"1541625374-1647","https://www.nogomania.com/Novice.aspx","Evropske lige","United je postal bolj kompakten","1","Po treh zaporednih zmagah trener Manchester Uniteda Jose Mourinho ugotavlja, da je ekipni duh moštva precej boljši, ekipa je tudi bolj čvrsta. Z dobrimi rezultati je prišla tudi samozavest.","","https://www.nogomania.com/Novice.aspx?pid=104"
"1541626416-3828","https://www.nogomania.com/Novice.aspx","Slovenski nogomet","Maribor razbil potencialnega tekmeca Olimpije","12","Maribor je v Beltincih kar s 4:0 premagal albanski Kukesi, ki bi bil v primeru uspeha Olimpije v prvem krogu evropskih kvalifikacij njen verjetni rival v drugem krogu. Napadalci Maribora v odlični formi.","","https://www.nogomania.com/Novice.aspx?pid=295"
